surname,caste,confidence
AINAVOLU,Kamma,medium
AIYYALASOMAYAJULA,Brahmin,high
AJJIJUNNISA,Muslim,high
AKARAPU,Kamma,high
AKELLA,Brahmin,high
AKKALA,Kapu,medium
AKKENA,Kamma,medium
AKKINA,Kamma,medium
AKKINENI,Kamma,high
AKKIPALLI,Kamma,low
AKKISETTI,Vysya,high
AKSHIM,Kamma,medium
AKULA,Kapu,high
AKUNURI,Kamma,high
AKURAJU,Kamma,medium
AKURATHI,Kamma,medium
AKURATI,Kamma,medium
ALA,Kamma,low
ALAGASANI,Kamma,medium
ALAKASANI,Kamma,medium
ALAMANDA,Kamma,medium
ALAMANDHA,Other,medium
ALAMANENI,Kamma,medium
ALAMU,Kamma,medium
ALAMURI,Kapu,medium
ALAPARTHI,Kamma,high
ALAPARTHY,Kamma,high
ALAPARTI,Kamma,medium
ALAPATI,Kamma,high
ALARAKAM,Kamma,medium
ALASYAMU,Kamma,medium
ALAVALA,Kamma,medium
ALETI,Kamma,medium
ALINEDI,Kamma,medium
ALINENI,Kamma,medium
ALLA,Reddy,medium
ALLADA,Kamma,medium
ALLADI,Kamma,medium
ALLAM,Kapu,medium
ALLAMNENI,Kamma,medium
ALLAMSETTI,Vysya,high
ALLAMSETTY,Vysya,high
ALLASANI,Kamma,medium
ALLNEDI,Kamma,medium
ALLU,Kamma,medium
ALLUMOLU,Kamma,medium
ALLURI,Kamma,high
ALLURU,Kamma,medium
ALOKAM,Kamma,medium
ALOKAMU,Kamma,medium
ALOVARI,Kamma,medium
ALUGOLU,Kamma,medium
ALUGU BELLI,Reddy,high
ALUGUBELLI,Reddy,high
ALURI,Kamma,high
ALURU,Kamma,high
ALVALA,Kamma,medium
AMADAPAKULA,Kamma,medium
AMARANENI,Kamma,medium
AMARLAPUDI,Kamma,low
AMARNENI,Kamma,low
AMARTHALURI,Brahmin,medium
AMARTHI,Kamma,medium
AMBALA,SC,medium
AMBANTI,Kapu,medium
AMBATI,Kamma,medium
AMBAVARAPU,Kamma,medium
AMERINENI,Kamma,low
AMILINENI,Kamma,medium
AMINENI,Kamma,low
AMIREDDY,Reddy,high
AMIRINENI,Kamma,medium
AMMANABROLU,Kamma,medium
AMMINENI,Kamma,medium
AMMIRAJU,Kamma,medium
AMMISETTI,Vysya,high
AMMISETTY,Vysya,high
AMMU,Kamma,medium
AMRUTALURI,Kamma,medium
AMRUTULURI,Kamma,medium
AMUDALA,SC,medium
AMULA,Kapu,medium
AMULOTHU,Kamma,medium
ANAGANI,Kamma,medium
ANALA,Kapu,medium
ANAM,Kamma,medium
ANAMALAMUDI,Kamma,medium
ANAMALAMURI,Muslim,medium
ANAMALLA,Kamma,medium
ANAMARLAPUDI,Kamma,low
ANAMOLU,Kamma,medium
ANAMPUDI,Kamma,low
ANANTANENI,Kamma,medium
ANANTAPALLI,Kamma,low
ANANTHANENI,Kamma,medium
ANANTHULA,Reddy,high
ANAPALA,Kamma,medium
ANAPARTI,Kamma,medium
ANAVARLAPUDI,Kamma,low
ANAVOLU,Kamma,medium
ANCHA,Kapu,medium
ANCHE,Kapu,medium
ANCHELA,Kamma,medium
ANCHELAPELLI,Kamma,medium
ANCHETI,Kamma,medium
ANCHURI,Kamma,medium
ANDE,Kapu,medium
ANDRA,Kamma,medium
ANDRI,Kamma,medium
ANDUGULA,Kapu,medium
ANDUPALLI,Kamma,medium
ANGADALA,Kamma,medium
ANGALAKUDITI,Kamma,medium
ANGI,Other,medium
ANGIREKULA,Kamma,medium
ANISETTI,Vysya,high
ANISETTY,Vysya,high
ANKALA,Kapu,medium
ANKAM,Kamma,medium
ANKAMARAJU,Kshatriya,medium
ANKEM,Kapu,medium
ANKINAPALLI,Kamma,low
ANKIREDDY,Reddy,high
ANKOLU,Kamma,medium
ANNA,Kamma,low
ANNABATHULA,Kamma,medium
ANNABATHUNI,Kapu,medium
ANNABATTULA,Kamma,medium
ANNABATTUNI,Kamma,medium
ANNADANAPU,Kamma,medium
ANNADASU,Brahmin,medium
ANNAM,Kapu,medium
ANNAMANENI,Kamma,medium
ANNAMNENI,Kamma,low
ANNAMREDDI,Kamma,medium
ANNAMREDDY,Reddy,high
ANNANGI,Kamma,medium
ANNAPAREDDY,Reddy,high
ANNAPUREDDY,Reddy,high
ANNAPUREEDY,Reddy,high
ANNAVARAPU,Kamma,medium
ANNE,Kapu,medium
ANNEBOYINA,Kamma,medium
ANNEM,Kamma,medium
ANNERI,Kamma,medium
ANNURI,Kamma,medium
ANTHATI,Kamma,medium
ANUBROLU,Kamma,medium
ANUMALA,Kamma,medium
ANUMANCHI,Kamma,medium
ANUMOLLU,Kamma,medium
ANUMOLU,Kamma,high
ANUMOTHU,Kamma,medium
ANUMULU,Brahmin,medium
APATHA,Kamma,medium
APPALANENI,Kamma,medium
APPANEDI,Kamma,medium
APPASANI,Kamma,medium
APPINENI,Kamma,medium
ARAARI,Kamma,medium
ARABANDI,Kamma,medium
ARADALA,Kamma,medium
ARADESI,Kamma,medium
ARADHUYULA,Kamma,medium
ARADHYULA,Brahmin,high
ARAGADI,Kamma,medium
ARAGALA,Kapu,medium
ARAJA,SC,medium
ARAKA,Kamma,medium
ARAKAMU,Kamma,medium
ARAKATLA,Kapu,medium
ARAMANDLA,Kamma,medium
ARAMARAKA,Kamma,medium
ARAVAPALLI,Kamma,medium
ARAVEETI,Kamma,medium
ARAVETI,SC,medium
ARDALA,Kapu,medium
ARDALAPUDI,Kamma,low
ARDDALA,Other,medium
ARDHALA,Kapu,medium
ARDHALAPUDI,Kamma,low
ARE,Reddy,high
AREGAPUDI,Kamma,medium
AREKAPUDI,Kamma,medium
AREKATLA,Kamma,medium
AREKATTLA,Kamma,medium
AREKUTI,Kamma,medium
ARELA,Kamma,medium
AREMALLA,Kamma,medium
AREMANDA,Kapu,medium
AREPALLI,Kamma,medium
AREPU,Kapu,medium
ARETI,Kapu,medium
ARIGA,Kapu,medium
ARIGAPUDI,Kamma,medium
ARIKA,Reddy,high
ARIKAPUDI,Kamma,medium
ARIKATLA,Kamma,medium
ARIKATLU,Kamma,medium
ARIKATTU,Kamma,medium
ARIKEPUDI,Kamma,medium
ARIKONDALA,Kamma,medium
ARIMANDA,Kapu,medium
ARIMILLI,Kamma,medium
ARIPINENI,Kamma,medium
ARISALA,Kamma,medium
ARISTANENI,Kamma,medium
ARIVENI,Kamma,medium
ARJA,Kapu,medium
ARKALA,Reddy,high
ARLA,Kapu,medium
ARMALLA,Kamma,medium
ARTHIMALLA,Kamma,medium
ARUDALA,Kapu,medium
ARUDRA,Kamma,medium
ARUMALLA,Kapu,medium
ARUMILLI,Kamma,medium
ARUVU,Kamma,medium
ARVAPALLI,Kamma,medium
ARVAPALLY,Kamma,medium
ASANTI,Kamma,medium
ATCHI,Kapu,medium
ATHALURI,Brahmin,medium
ATHIPATLA,Kamma,high
ATHLURI,Kamma,high
ATHMAKURI,Kamma,medium
ATHMURI,Kamma,medium
ATHOTA,Kapu,medium
ATHUKURI,Kamma,medium
ATHULURI,Brahmin,medium
ATLURI,Kamma,high
ATLURU,Kamma,high
ATLURY,Brahmin,medium
ATMAKURI,Kamma,medium
ATMAKURU,Kamma,medium
ATTALURI,Kamma,medium
ATTALURRI,Kamma,medium
ATTALURU,Kamma,medium
ATTANTI,Kamma,medium
ATTANURU,Kamma,medium
ATTATA,Kamma,medium
ATTHULURI,Kamma,medium
ATTIPATLA,Kamma,medium
ATTLURI,Brahmin,high
ATTOTA,Kamma,medium
ATTOTI,Kamma,medium
ATTULURI,Kamma,medium
ATTURI,Kamma,medium
ATUKURI,Kamma,medium
ATUKURU,Kamma,medium
ATYALA,Kamma,medium
ATYAMILLI,Kamma,medium
AUCHURI,Kamma,medium
AVALA,Kapu,medium
AVALAMANDA,Kamma,medium
AVALAPATI,Kamma,medium
AVATALA,Kamma,medium
AVATHAPALLI,Kamma,low
AVIRNENI,Kamma,medium
AVUDARU,Kamma,medium
AVULA,Kapu,medium
AVULAMANDA,Kapu,medium
AVULAPATI,Kamma,medium
AVUTAPALLI,Kamma,low
AVUTHU,SC,medium
AVUTU,Kapu,medium
AVVARI,Kamma,medium
AVVARU,Kamma,medium
AYENAMPUDI,Kamma,low
AYINALA,Kamma,medium
AYINAPUDI,Kamma,medium
AYINAVOLU,Kamma,medium
AYINUMPUDI,Kamma,low
AYITAPU,Kamma,medium
AYNAMPUDI,Kamma,low
AYYALARAJU,Kamma,medium
AYYANAR,Other,medium
AYYANKI,Kamma,medium
BAALAA,Kamma,medium
BABBURI,Kamma,medium
BACCHALA,Kapu,medium
BACHALA,Kapu,medium
BACHALAKURA,Kamma,medium
BACHANA,SC,medium
BACHHALA,SC,medium
BACHINA,Kamma,medium
BACHU,Kapu,medium
BADARLA,Kamma,medium
BADAVATH,ST,high
BADDIREDDI,Reddy,high
BADDULA,Kamma,medium
BADDURI,Kamma,medium
BADE,Kamma,medium
BADIGA,SC,high
BADIGANCHULA,SC,medium
BADISA,SC,medium
BADITABOYINA,Kamma,medium
BADITHIMANI,Kamma,medium
BADLAMUDI,Kamma,low
BADUGU,SC,medium
BAGAM,Kamma,medium
BAGARU,Kamma,medium
BAGGAM,Kamma,medium
BAID,Vysya,high
BAILADUGU,Kamma,medium
BAINABOINA,Kapu,medium
BAINABOYINA,Kapu,medium
BAIPANENI,Kamma,low
BAIPIREDDY,Reddy,high
BAIRABOINA,Kapu,medium
BAIRAPANENI,Kamma,medium
BAITINI,Kamma,medium
BALAGA,Kamma,medium
BALAGAM,Kapu,medium
BALASUBRAHMANYAM,Brahmin,high
BALIBOYINA,Kapu,medium
BALINA,Kamma,medium
BALINENI,Kamma,high
BALIVADA,Kamma,medium
BALLA,Kapu,medium
BALLAMUDI,Kamma,low
BALLAMUDUI,Kamma,medium
BALLANI,Kapu,medium
BALLAPALLI,Kamma,low
BALLU,SC,medium
BALUGURI,Kamma,medium
BALUMURI,Kamma,medium
BALUSU,Kamma,medium
BALUSUPATI,Kamma,medium
BANALA,Kamma,medium
BANANGI,Kamma,medium
BANAVAT,ST,medium
BANAVATH,ST,high
BANAVATHU,ST,high
BANAVATTU,Kamma,medium
BANAVATU,SC,medium
BANDA,Kamma,medium
BANDALA,SC,medium
BANDAPALLI,Kamma,low
BANDAPU,Kamma,medium
BANDARI,Kapu,medium
BANDARU,Kamma,high
BANDARUPALLE,Kamma,medium
BANDARUPALLI,Kamma,medium
BANDARUPELLI,Kamma,medium
BANDELA,Kapu,medium
BANDHANEEDI,Kamma,medium
BANDI,Kapu,medium
BANDIREDDY,Reddy,high
BANDKLA,Kamma,medium
BANDLA,Kamma,high
BANDLAMUDI,Kamma,high
BANDLAMURI,Kamma,medium
BANDLAMURU,Kamma,medium
BANDREDDI,Reddy,high
BANDREDDY,Reddy,high
BANGARI,Kamma,medium
BANIGALLAPATI,Kamma,medium
BANKA,Kapu,medium
BANKURU,Kamma,medium
BANNA,Other,low
BANNARAVURI,Kamma,medium
BANNURU,Kamma,medium
BANTINENI,Kamma,medium
BAPANAPALLI,Kamma,medium
BAPATHU,Kamma,medium
BAPINENI,Kamma,medium
BARATAM,Kapu,medium
BARRELA,SC,medium
BASATI,Kapu,medium
BASAVANABOINA,Kamma,medium
BASAVAPUNNAIAH,Brahmin,medium
BASHA,Muslim,high
BASHYAM,Brahmin,high
BASINASETTY,Vysya,high
BASKARUNI,Other,medium
BATCHALA,Kapu,medium
BATCHU,Kapu,medium
BATHENENI,Kamma,low
BATHHINI,Kapu,medium
BATHINA,Kamma,medium
BATHINENI,Kamma,medium
BATHINI,Kapu,medium
BATHTHULA,Kamma,medium
BATHULA,Kapu,high
BATHULLA,SC,medium
BATTA,Kamma,medium
BATTALA,Kamma,medium
BATTEPATI,Kamma,medium
BATTHINA,Kapu,medium
BATTHINENI,Kamma,low
BATTINA,Kapu,medium
BATTINENI,Kamma,medium
BATTINI,Kapu,medium
BATTU,Kapu,medium
BATTULA,Kapu,high
BAVANA,Kamma,medium
BAVENENI,Kamma,low
BAVINENI,Kamma,medium
BAYANA,Kapu,medium
BAYANAGARI,Kapu,low
BAYANENI,Kamma,medium
BAYINENI,Kamma,medium
BAYIREDDY,Reddy,high
BAYYA,Kapu,medium
BAYYANA,Kapu,medium
BAYYAVARAPU,Kamma,high
BEEMAVARAPU,Kamma,high
BEEMINENI,Kamma,low
BEEMPATI,Kamma,medium
BEERA,Kapu,medium
BEERAM,Other,medium
BEERELLA,Kapu,medium
BEESA,Kapu,medium
BEESABATTINI,Kamma,medium
BEHTAPUDI,Kamma,low
BEJJAM,Kamma,medium
BEJJANKI,Kamma,high
BEKKANTI,Kamma,medium
BELLAM,Kapu,medium
BELLAMKONDA,Kamma,medium
BELLAMU,Kamma,medium
BELLAMUKONDA,Kamma,medium
BELLAPU,Kamma,medium
BELLI,Kapu,medium
BENARJI,Brahmin,medium
BESTHA,SC,medium
BETAPUDI,Kamma,medium
BETHAMCHERLA,Other,medium
BETHAPUDI,Kamma,high
BETHI,Kamma,low
BETHINA,Kamma,medium
BETHINEEDI,Kamma,medium
BETHINI,Kamma,medium
BETHIREDDY,Reddy,high
BETHU,Kapu,medium
BETTINA,Kamma,medium
BEVARA,Kapu,medium
BHAAVANAM,Kamma,medium
BHAGAVATULA,Brahmin,medium
BHAIRAPANENI,Kamma,low
BHAIRAPU,Kamma,medium
BHAIRAPUDI,Kamma,medium
BHAMIDIPATI,Kamma,high
BHANAVATH,ST,medium
BHANDARI,Vysya,medium
BHARATAM,Kamma,medium
BHARGAVA,Brahmin,high
BHASHYAM,Brahmin,high
BHASKARARAO,Brahmin,high
BHASKARUNI,Other,medium
BHATTIPROLU,Kamma,medium
BHATTU,Kapu,medium
BHAVANAM,Kamma,medium
BHAVANENI,Kamma,medium
BHAVANM,Reddy,medium
BHAVINENI,Kamma,low
BHAVIRI SETTI,Vysya,high
BHAVIRISETTY,Vysya,high
BHEEMA,Kamma,medium
BHEEMANA,Kamma,medium
BHEEMANENI,Kamma,medium
BHEEMAREDDI,Kamma,medium
BHEEMAVARAPU,Kamma,medium
BHEEMINENI,Kamma,medium
BHEEMIREDDY,Reddy,high
BHEMANENI,Kamma,low
BHEMAVARAPU,Kamma,medium
BHEMINENI,Kamma,medium
BHERI,Kamma,medium
BHIMANA,SC,medium
BHIMANADHAM,Reddy,high
BHIMANI,Kamma,medium
BHIMAVARAPU,Kamma,medium
BHIMAVARPU,Kamma,medium
BHIMEREDDY,Reddy,high
BHIMI,Other,high
BHIMI REDDY,Reddy,high
BHIMINEN,Kamma,medium
BHIMINENI,Kamma,medium
BHIMIREDDY,Reddy,high
BHIMISETTY,Vysya,high
BHIMIVARAPU,Kapu,medium
BHOGADI,Kapu,medium
BHOGASAMUDRAM,Reddy,high
BHOGAVALLI,Kamma,medium
BHOGAVATHI,Kamma,medium
BHOGAVELLI,Kamma,medium
BHOGINENI,Kamma,medium
BHOGIREDDI,Kamma,medium
BHOGIREDDY,Reddy,high
BHOJANAPALLI,Kamma,low
BHOMMAREDDYVALLI,Reddy,high
BHOOMI,Kamma,medium
BHRUGUMALLA,Kamma,medium
BHUDDARAJU,Brahmin,medium
BHUKYA,ST,high
BHUMULA,Kamma,medium
BHUPATHI,Kapu,medium
BHUPATHIRAJU,Kamma,high
BHUSURAPALLI,Kamma,low
BHUVANAGIRI,Kamma,medium
BIBI,Muslim,medium
BIGGINENI,Kamma,medium
BIJJALA,Kapu,medium
BIJJAMULA,Kamma,medium
BIKKANI,Kapu,medium
BIKKASANI,Kamma,medium
BIKKI,Kapu,medium
BIKKINA,Kamma,medium
BILIKALAGUDURU,Kamma,medium
BILLA,Kapu,medium
BILLUPATI,Kamma,medium
BILUGUDI,Kamma,medium
BIMAVARAPU,Kamma,medium
BIRUDUGADDA,Kamma,medium
BIRUDUKOTA,Kamma,medium
BIRUDURAJU,Kamma,medium
BIRUPANENI,Kamma,low
BITRA,Kapu,medium
BOBBA,Kapu,high
BOBBARI,Kapu,medium
BOBBE,Kapu,medium
BOBBILI,Kamma,medium
BOBBILLA,Kapu,medium
BOBBURI,Kamma,medium
BODANAPATI,Kamma,medium
BODAPATI,Kamma,medium
BODAVULA,Kamma,medium
BODDA,Kamma,medium
BODDAKAYALA,Kamma,medium
BODDAPATI,Kamma,high
BODDETI,Kamma,high
BODDU,Kapu,medium
BODDULURI,Kamma,high
BODDULURU,Kamma,medium
BODE,Kamma,medium
BODEDLA,Kamma,medium
BODEMPUDI,Kamma,medium
BODEPUDI,Kamma,medium
BODI,Kamma,medium
BODIPUDI,Kamma,medium
BODLAPATI,Reddy,high
BOGADALA,Kamma,medium
BOGANATHAM,Kamma,medium
BOGGARAPU,Kamma,medium
BOGGAVARAPU,Kamma,medium
BOGI,Kapu,medium
BOGINENI,Kamma,medium
BOGIREDDY,Reddy,high
BOGOLA,Kamma,medium
BOGOLU,Kamma,medium
BOINAPALLI,Kamma,low
BOJADLA,Kamma,medium
BOJJA,Kamma,medium
BOKKA,Kapu,medium
BOKKASAM,Brahmin,medium
BOKKENA,Kapu,medium
BOKKISAM,Kamma,medium
BOLAGANI,Kamma,medium
BOLINENI,Kamma,low
BOLISETTI,Vysya,high
BOLISETTY,Vysya,high
BOLLA,Kapu,high
BOLLAA,Kamma,medium
BOLLAM,Kapu,medium
BOLLAMPALLI,Kamma,medium
BOLLAPALLI,Kamma,low
BOLLAPUDI,Kamma,medium
BOLLEDDU,Kapu,medium
BOLLEPALLI,Kamma,medium
BOLLI,Kamma,medium
BOLLIMPALLI,Kamma,medium
BOLLINA,Kamma,medium
BOLLINENI,Kamma,medium
BOLLINI,Kamma,medium
BOLLINIDI,Kamma,medium
BOLLU,Kapu,medium
BOLUSUPATI,Kamma,medium
BOMMA,Kamma,medium
BOMMADEVARA,Kamma,medium
BOMMAJI,Kamma,medium
BOMMALA,Kamma,medium
BOMMALAPURI,Kamma,medium
BOMMANABOINA,Kamma,medium
BOMMAREDDY,Reddy,high
BOMMASANI,Kamma,medium
BOMMEPALLE,Reddy,high
BOMMIDI,Kapu,medium
BOMMINENI,Kamma,medium
BOMMISETTI,Vysya,high
BOMMISETTY,Vysya,high
BOMMU,Reddy,high
BONAGIRI,Kamma,medium
BONALA,Kamma,medium
BONAM,SC,medium
BONASI,Kamma,medium
BONDA,Kapu,medium
BONDADA,Kapu,medium
BONDALAPATI,Kamma,medium
BONDILI,Kamma,medium
BONGU,Kapu,medium
BONKUR,SC,medium
BONTHA,Kapu,medium
BONTHAGARLA,Kamma,medium
BONTHAGORLA,Kapu,medium
BONTHU,Kapu,medium
BONTHULA,Kamma,medium
BOOLLU,Kamma,medium
BOORLAGADA,Kamma,medium
BOOTHAPATI,Kamma,medium
BOPPANA,Kamma,high
BOPPANI,Kamma,medium
BOPPANNA,Kamma,medium
BOPPINI,Kamma,medium
BOPPUDI,Kamma,medium
BOREDDY,Reddy,high
BORIGORLA,Kamma,medium
BORRA,Kapu,high
BOTHA,Kamma,medium
BOTLA,Kamma,medium
BOTLAGUNTA,Kamma,medium
BOTRAGUNTA,Kamma,medium
BOTTLA,Kapu,medium
BOTTU,Kapu,medium
BOYALLA,Kapu,medium
BOYANAPALLI,Kamma,low
BOYAPATI,Kamma,high
BOYIDI,Kamma,medium
BOYINA,Kapu,medium
BOYINEEDI,Kamma,medium
BOYIPATI,Kamma,medium
BRAHMAJI,Brahmin,high
BRAHMANDAM,Brahmin,medium
BRAHMASANI,Kamma,medium
BRAMHAREDDY,Reddy,high
BRAMMAIAH,Brahmin,medium
BRUGUMALLA,Kamma,medium
BUBNA,Other,high
BUCHEPALLI,Kamma,low
BUCHIPUDI,Kamma,low
BUDARAPU,Kamma,medium
BUDATI,Kapu,medium
BUDAVATI,Kapu,medium
BUDDA,SC,medium
BUDDARAJU,Kshatriya,medium
BUDDHA,SC,medium
BUDDHARAJU,Kshatriya,medium
BUDDI,SC,medium
BUDDIGA,Kamma,medium
BUDDULA,Kapu,medium
BUDETI,Kapu,medium
BUDI,Kamma,medium
BUDIGINA,Kamma,medium
BUDIGUTTA,Kapu,medium
BUDUMURU,Kamma,medium
BUGADAPA,Kamma,medium
BUGGINENI,Kamma,medium
BUKYA,ST,high
BULLA,Kapu,medium
BULUSUPATI,Kamma,medium
BURADAGUNTA,Kamma,medium
BURAGADDA,Kapu,medium
BURLA,Kapu,medium
BURLE,Kapu,medium
BURRA,Kamma,medium
BURRAMUKKALA,Kamma,medium
BURRAMUKKU,SC,medium
BURRANENI,Kamma,medium
BURRI,SC,medium
BURUGUPALLI,Kamma,medium
BUSETTI,Vysya,high
BUSETTY,Vysya,high
BUTUKURU,Kamma,medium
BYRAPANENI,Kamma,low
BYRAPUNENI,Kamma,medium
BYRAVARASU,Other,low
CHAAPARALA,Kamma,medium
CHABOLU,Kamma,medium
CHADALAVADA,Kamma,medium
CHADALAWADA,Kamma,medium
CHADARAJ,Kapu,medium
CHADARAJU,Kamma,medium
CHADARAJUPALLI,Kamma,medium
CHADARASIPALLI,Kamma,low
CHADHALADA,Kamma,medium
CHADHALAVADA,Kamma,medium
CHAGANTI,Brahmin,medium
CHAGARLAMUDI,Kamma,medium
CHAGI,Kamma,medium
CHAKAKA,Kamma,medium
CHAKALI,SC,medium
CHAKKA,Kapu,medium
CHAKKIRALA,Kamma,medium
CHAKRALA,Kamma,medium
CHALADI,Kapu,medium
CHALAGALLA,Kamma,medium
CHALAM,Kamma,medium
CHALAMALAPALLI,Kamma,medium
CHALAMALASETTI,Vysya,medium
CHALAMALASETTY,Vysya,high
CHALAMALLA,Kamma,medium
CHALAMPALLI,Kamma,medium
CHALAPATI,Brahmin,medium
CHALASANI,Brahmin,medium
CHALAVADA,Kamma,medium
CHALAVADI,Kapu,medium
CHALICHIMALA,Kamma,medium
CHALIGUNDLA,Kamma,medium
CHALLA,Kapu,medium
CHALLAGALLA,Kamma,medium
CHALLAGANDLA,Kamma,medium
CHALLAGOLLA,Kamma,medium
CHALLAGONDA,Kamma,medium
CHALLAGULLA,Kamma,medium
CHALLAGUNDLA,Kamma,high
CHALLAKOLUSU,Kapu,medium
CHALLAKONDA,Kamma,medium
CHALLAPALLI,Kamma,medium
CHALLAPELLI,Kamma,medium
CHALLIGONDA,Kamma,medium
CHALUVADI,Kapu,medium
CHAMAKURI,Kamma,medium
CHAMALA,Reddy,high
CHAMALLAMUDI,Kamma,medium
CHAMARTHI,Kamma,medium
CHAMARTHY,Brahmin,medium
CHAMARTI,Kamma,medium
CHANAMALA,Kamma,medium
CHANAMOLU,Kamma,high
CHANAMPUDI,Kamma,medium
CHANDA,Kamma,medium
CHANDALURI,Kapu,medium
CHANDANA,Kapu,low
CHANDARLAPATI,Kamma,medium
CHANDAVOLU,Kamma,medium
CHANDOLU,Kamma,high
CHANDRAGIRI,Kamma,medium
CHANDRAPATI,Kamma,medium
CHANDRAPATLA,Kamma,medium
CHANDRUPATLA,Kamma,medium
CHANDURU,Kamma,medium
CHANGALASETTY,Vysya,high
CHANNAGANU,Kamma,medium
CHANTIPELLI,Kamma,medium
CHANUMOLU,Kamma,high
CHAPALAMADUGU,Kamma,medium
CHAPARALA,Kamma,high
CHAPPI,Kamma,medium
CHAPPIDI,Kapu,medium
CHARAKA,Brahmin,medium
CHARUGULLA,Kamma,medium
CHARYULU,Brahmin,high
CHATAPARTI,Kamma,medium
CHATARAJUPALLI,Kamma,low
CHATLA,Kamma,medium
CHATRAADI,Kamma,medium
CHATTALA,SC,medium
CHATTU,Kapu,medium
CHATURVEDULA,Brahmin,high
CHAVA,Kapu,medium
CHAVAA,Kamma,medium
CHAVAALA,Kamma,medium
CHAVALA,Kapu,medium
CHAVALI,Kamma,medium
CHAVNNI,Kamma,medium
CHAVVA,Kapu,medium
CHAVVAKULA,Kamma,medium
CHAYALA,Kamma,medium
CHAYAPATI,Kamma,medium
CHEAMDELA,Kamma,medium
CHEBOINA,Kapu,medium
CHEBOLU,Kamma,medium
CHEBROLU,Kamma,medium
CHEDALAWADA,Kamma,medium
CHEDELLA,Kamma,medium
CHEDURI,Kapu,medium
CHEEDAPUDI,Kamma,low
CHEEDELLA,Kamma,medium
CHEEDIPUDI,Kamma,low
CHEEKATI,Kamma,medium
CHEELANNENI,Kamma,medium
CHEEMAKURTHI,Kamma,medium
CHEERLA,Kamma,low
CHEGANTA,Kamma,medium
CHEGANTI,Kamma,medium
CHEGONDI,Kapu,medium
CHEJERLA,Reddy,high
CHEKKA,Kamma,medium
CHEKURI,Kamma,high
CHEKURTHI,Kamma,medium
CHEKURU,Kamma,medium
CHELAMALLU,Kamma,medium
CHELASANI,Kamma,medium
CHELLURI,Kamma,medium
CHEMALAMUDI,Kamma,low
CHENGALVALA,Kamma,medium
CHENNA,Kamma,medium
CHENNAGIRI,Other,low
CHENNAKESAVULA,Kapu,medium
CHENNAM,Kapu,medium
CHENNAMALLU,Kamma,medium
CHENNAMOLU,Kamma,medium
CHENNAREDDY,Reddy,high
CHENNOJU,Kamma,medium
CHENNU,Kapu,medium
CHENNUBOINA,Kapu,medium
CHENNUPALLI,Kamma,low
CHENNUPARI,Kamma,medium
CHENNUPATI,Kamma,high
CHENNURU,Kamma,medium
CHENUKONDA,Kamma,medium
CHENUMOLU,Kamma,medium
CHEPAADA,Kamma,medium
CHEPURI,Kamma,medium
CHERAKURI,Kamma,high
CHEREDDY,Reddy,high
CHERLOPALLY,Kamma,medium
CHERUKU,Kamma,medium
CHERUKUMALLI,Kamma,medium
CHERUKUPALLI,Kamma,medium
